Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,31.5,32.0,31.5,31.75,14.246060371398926,5983333
2020-01-03,32.0,32.625,31.875,32.5,14.58258056640625,13275073
2020-01-06,32.5,33.0,32.25,32.5,14.58258056640625,10429668
2020-01-07,32.5,32.625,32.125,32.25,14.470406532287598,5552326
2020-01-08,31.875,31.875,31.5,31.5,14.133885383605957,5703694
2020-01-09,31.875,32.375,31.75,32.125,14.414320945739746,5810333
2020-01-10,32.25,33.0,32.25,32.875,14.75084114074707,12919549
2020-01-13,32.875,33.0,32.625,32.875,14.75084114074707,3638792
2020-01-14,32.875,33.375,32.875,33.0,14.806927680969238,6208732
2020-01-15,33.0,33.25,32.5,32.875,14.75084114074707,5320889
2020-01-16,32.875,32.875,32.5,32.5,14.58258056640625,3698913
2020-01-17,32.75,32.75,32.25,32.5,14.58258056640625,2956929
2020-01-20,32.5,32.875,32.25,32.375,14.526494026184082,5235482
2020-01-30,31.0,31.0,29.25,29.5,13.236496925354004,15375236
2020-01-31,29.5,29.875,29.0,29.375,13.18040943145752,8451064
2020-02-03,28.25,28.875,27.75,28.625,12.843888282775879,6527485
2020-02-04,31.0,31.0,29.0,29.0,13.0121488571167,5861996
2020-02-05,29.125,29.625,29.0,29.25,13.124321937561035,5535194
2020-02-06,29.375,29.875,29.375,29.875,13.404756546020508,3763199
2020-02-07,29.5,29.625,29.125,29.125,13.068236351013184,4329979
2020-02-10,28.75,29.0,28.375,28.75,12.899975776672363,3871674
2020-02-11,29.0,29.25,29.0,29.125,13.068236351013184,2026148
2020-02-12,29.375,29.75,29.25,29.5,13.236496925354004,4123714
2020-02-13,29.75,29.875,29.5,29.75,13.34867000579834,4295265
2020-02-14,29.625,29.625,29.125,29.375,13.18040943145752,2389720
2020-02-17,29.0,29.125,28.75,28.875,12.956061363220215,5843498
2020-02-18,28.75,29.625,28.75,29.5,13.236496925354004,4595376
2020-02-19,29.625,30.125,29.5,29.875,13.404756546020508,7008796
2020-02-20,30.125,30.25,29.375,29.625,13.292583465576172,3956686
2020-02-21,29.5,29.75,29.25,29.375,13.18040943145752,2543486
2020-02-24,29.25,29.375,28.875,28.875,12.956061363220215,4091161
2020-02-25,28.75,29.5,28.625,29.25,13.124321937561035,3187970
2020-02-26,28.875,29.25,28.875,29.0,13.0121488571167,2672080
2020-02-27,29.0,29.25,28.75,28.875,12.956061363220215,5922738
2020-03-02,28.5,28.875,28.375,28.5,12.787801742553711,4548406
2020-03-03,28.875,29.125,28.5,28.5,12.787801742553711,4230046
2020-03-04,28.625,29.0,28.5,28.875,12.956061363220215,6986023
2020-03-05,29.0,29.875,28.875,29.625,13.292583465576172,10450761
2020-03-06,29.25,29.625,29.0,29.25,13.124321937561035,4395782
2020-03-09,29.0,29.0,28.25,28.5,12.787801742553711,9981983
2020-03-10,28.375,29.625,28.25,29.25,13.124321937561035,12006893
2020-03-11,29.25,29.5,28.75,28.875,12.956061363220215,5341540
2020-03-12,28.75,28.875,27.75,27.75,12.451279640197754,11486325
2020-03-13,25.375,26.5,25.25,26.125,11.722150802612305,12534098
2020-03-16,26.25,26.25,24.649999618530273,24.649999618530273,11.06032657623291,11652579
2020-03-17,23.524999618530273,24.25,23.299999237060547,23.549999237060547,10.56676197052002,11669825
2020-03-18,23.649999618530273,24.950000762939453,23.450000762939453,23.75,10.656501770019531,9004023
2020-03-19,23.625,23.625,22.25,23.0,10.31998062133789,11171203
2020-03-20,23.5,24.299999237060547,23.5,24.0,10.768674850463867,7303002
2020-03-23,23.0,23.375,22.424999237060547,23.100000381469727,10.364850044250488,5572034
2020-03-24,23.774999618530273,24.299999237060547,23.25,23.600000381469727,10.589197158813477,6091361
2020-03-25,23.950000762939453,24.774999618530273,23.950000762939453,24.200000762939453,10.858413696289062,7366432
2020-03-26,24.549999237060547,24.625,23.875,24.174999237060547,10.847196578979492,4133048
2020-03-27,24.424999237060547,24.475000381469727,23.5,23.5,10.544326782226562,8050948
2020-03-30,23.0,23.100000381469727,22.524999618530273,23.075000762939453,10.353632926940918,5466567
2020-03-31,23.350000381469727,23.600000381469727,22.799999237060547,23.125,10.376067161560059,5439068
2020-04-01,22.975000381469727,22.975000381469727,22.75,22.75,10.207806587219238,4206610
2020-04-06,22.875,22.899999618530273,22.424999237060547,22.774999618530273,10.219023704528809,5150101
2020-04-07,23.100000381469727,23.375,22.924999237060547,23.149999618530273,10.387284278869629,5781772
2020-04-08,23.149999618530273,24.225000381469727,23.075000762939453,24.149999618530273,10.835978507995605,6769866
2020-04-09,24.299999237060547,25.75,24.299999237060547,25.625,11.497803688049316,13569754
2020-04-10,25.875,25.875,25.125,25.5,11.441717147827148,5660360
2020-04-13,25.625,25.625,25.0,25.125,11.273456573486328,4667067
2020-04-14,25.375,25.75,25.25,25.375,11.385629653930664,5602558
2020-04-15,25.875,27.0,25.75,25.875,11.609977722167969,13026007
